newid,year_month,dcf,dcs,dcn,dlcf,dlcs,dlcn,dnumadult,dnumkids,age,taxreb,ltaxreb,l2taxreb
113314,200103,281,343.0,352.0,0.61880463,0.50204194,0.28440568,0,0,85.0,0,0.0,0.0
113314,200106,-129,-176.0,427.0,-0.23803216,-0.22631313,0.26258063,0,0,85.0,0,0.0,0.0
113314,200109,-90,-42.0,169.0,-0.20763937,-0.062520355,0.08746197,0,0,85.0,0,0.0,0.0
113318,200103,131,820.0,1241.0,0.067395,0.2672087,0.3445366,0,0,51.0,0,0.0,0.0
113318,200106,302,3147.0,3256.0,0.13997823,0.64180875,0.56796837,0,0,51.0,0,0.0,0.0
113320,200103,-990,-1023.0,-1205.0,-0.44425112,-0.3227092,-0.2905459,0,0,50.5,0,0.0,0.0
113320,200106,1338,1428.0,1417.0,0.5629999,0.4263427,0.33395088,0,0,50.5,0,0.0,0.0
113347,200103,651,615.0,734.0,1.7994815,1.1219078,0.34477037,0,0,70.0,0,0.0,0.0
113347,200106,-570,-489.0,-1211.0,-1.3121864,-0.7682678,-0.65609866,0,0,70.0,0,0.0,0.0
113347,200109,114,555.0,873.0,0.43363598,0.8381375,0.511897,0,0,70.0,0,0.0,0.0
113350,200103,149,424.0,366.0,0.19424064,0.22011924,0.11478753,0,0,42.0,0,0.0,0.0
113350,200106,356,361.0,605.0,0.35192433,0.15548117,0.16488649,0,0,42.0,0,0.0,0.0
113350,200109,-334,-275.0,-361.0,-0.32619193,-0.11618877,-0.09508407,0,0,42.5,600,0.0,0.0
113358,200103,-150,285.0,699.0,-0.12270274,0.11369074,0.25731376,0,0,43.0,0,0.0,0.0
113358,200106,-84,-849.0,-308.0,-0.0759172,-0.38586214,-0.105324455,0,0,43.0,0,0.0,0.0
113364,200109,-99,102.0,-783.0,-0.1077714,0.036576327,-0.21390207,0,0,69.5,0,0.0,0.0
113370,200103,524,332.0,-917.0,0.3548847,0.10112077,-0.16360383,0,0,50.5,0,0.0,0.0
113370,200106,145,1341.0,1481.0,0.07942854,0.32820275,0.2523692,0,0,51.0,0,0.0,0.0
113370,200109,-369,-1367.0,-678.0,-0.2160597,-0.33576313,-0.107705966,0,0,51.0,600,0.0,0.0
113390,200103,326,731.0,681.0,0.27289572,0.30638784,0.22574337,0,0,29.5,0,0.0,0.0
113390,200106,64,-617.0,73.0,0.04582047,-0.2519851,0.02143044,0,0,29.5,0,0.0,0.0
113390,200109,260,485.0,345.0,0.16716173,0.20315884,0.09549499,0,1,29.5,600,0.0,0.0
113392,200103,-236,831.0,346.0,-0.25994238,0.32809275,0.11083332,0,0,26.0,0,0.0,0.0
113392,200106,1005,859.0,986.0,0.8171998,0.2539662,0.26157093,0,0,26.0,0,0.0,0.0
113392,200109,-771,-1383.0,-1270.0,-0.5591992,-0.448002,-0.35161906,0,0,26.5,0,0.0,0.0
113395,200103,66,116.0,275.0,0.0580638,0.06585807,0.13928925,0,0,58.0,0,0.0,0.0
113395,200106,-66,-66.0,-261.0,-0.0580638,-0.036937606,-0.13170935,0,0,58.0,0,0.0,0.0
113395,200109,66,-104.0,-54.0,0.0580638,-0.061123606,-0.029558802,1,-1,59.0,0,0.0,0.0
113401,200103,-361,-539.0,-352.0,-0.09816325,-0.09750148,-0.04726981,0,0,73.5,0,0.0,0.0
113401,200106,1299,2582.0,1853.0,0.3156446,0.39917517,0.22698654,0,0,74.0,0,0.0,0.0
113401,200109,200,-433.0,296.0,0.04083033,-0.056776077,0.03192334,0,0,74.5,600,0.0,0.0
113402,200103,129,69.0,78.0,0.50774395,0.04617749,0.047715474,0,0,66.0,0,0.0,0.0
113402,200106,261,-64.0,-59.0,0.59086835,-0.042758685,-0.035881016,0,0,66.0,0,0.0,0.0
113402,200109,0,749.0,749.0,0.0,0.4129456,0.38102013,0,0,66.0,0,0.0,0.0
113404,200106,-195,-352.0,-848.0,-0.18335302,-0.114671536,-0.21178584,0,0,48.0,0,0.0,0.0
113404,200109,370,-209.0,13.0,0.32341373,-0.0748783,0.003609611,0,0,48.0,600,0.0,0.0
113406,200103,-1216,1308.0,10230.0,-0.27422926,0.18118195,0.75606906,0,0,33.0,0,0.0,0.0
113406,200106,1774,1143.0,-5088.0,0.37864256,0.1352403,-0.3063155,0,0,33.5,0,0.0,0.0
113406,200109,-1079,-1482.0,-7113.0,-0.21284671,-0.17913938,-0.6952627,0,0,33.5,0,0.0,0.0
113410,200103,-474,-1404.0,-2242.0,-0.30802175,-0.43891305,-0.5834585,0,0,38.0,0,0.0,0.0
113410,200106,1146,3056.0,3429.0,0.62708545,0.7881719,0.7937437,0,0,38.0,0,0.0,0.0
113410,200109,-425,-1967.0,-2055.0,-0.18966553,-0.43232146,-0.39798397,0,0,38.0,0,0.0,0.0
113418,200103,-383,-580.0,-719.0,-1.0199832,-0.34249032,-0.40968156,0,0,46.0,0,0.0,0.0
113418,200106,-87,-32.0,-32.0,-0.515466,-0.02279301,-0.02279301,0,0,46.0,0,0.0,0.0
113418,200109,255,-593.0,-593.0,1.0908302,-0.557277,-0.557277,0,0,46.0,300,0.0,0.0
113421,200102,111,-1881.0,-2387.0,0.09457874,-0.5493874,-0.53747976,0,0,57.0,0,0.0,0.0
113421,200105,-195,166.0,629.0,-0.17261274,0.06261472,0.17188165,0,0,57.0,0,0.0,0.0
113421,200108,409,713.0,243.0,0.33301562,0.23166291,0.059220616,0,0,57.0,0,0.0,0.0
113424,200103,526,68.0,2381.0,0.43001655,0.01619083,0.37807685,0,0,55.5,0,0.0,0.0
113424,200106,2050,2724.0,3443.0,0.85956216,0.4967449,0.37517264,1,0,56.0,0,0.0,0.0
113424,200109,-1551,-2358.0,-2497.0,-0.5732099,-0.41383576,-0.25731614,1,0,56.0,0,0.0,0.0
113434,200102,548,410.0,638.0,0.49344614,0.14436267,0.14994015,0,0,56.0,0,0.0,0.0
113434,200105,-515,-206.0,-1387.0,-0.45574892,-0.06993008,-0.3605485,0,0,56.5,0,0.0,0.0
113434,200108,747,867.0,1733.0,0.60837543,0.26608986,0.43334615,0,0,56.5,0,0.0,0.0
113442,200103,369,453.0,826.0,0.2960503,0.14325951,0.22290169,0,0,35.5,0,0.0,0.0
113442,200106,63,-279.0,-329.0,0.042819995,-0.08578002,-0.08292947,0,0,35.5,0,0.0,0.0
113442,200109,-93,45.0,-180.0,-0.0638734,0.014342875,-0.0484617,0,0,35.5,0,0.0,0.0
113445,200103,975,1349.0,572.0,0.7288074,0.38263094,0.10774431,1,0,62.0,0,0.0,0.0
113445,200106,1838,3464.0,3643.0,0.680864,0.59685844,0.5010999,1,0,63.0,0,0.0,0.0
113445,200109,-1263,-2418.0,-1250.0,-0.4145064,-0.3764998,-0.14530034,0,0,63.0,0,0.0,0.0
113447,200103,494,799.0,1037.0,0.23851016,0.23480107,0.22716889,0,0,39.0,0,0.0,0.0
113447,200106,323,607.0,406.0,0.1299274,0.14754355,0.076554514,0,0,39.0,0,0.0,0.0
113447,200109,-670,-1324.0,-1853.0,-0.29133517,-0.35554564,-0.41001347,0,0,39.0,300,0.0,0.0
113451,200103,624,1160.0,621.0,0.40951207,0.40007883,0.13765194,0,0,53.0,0,0.0,0.0
113451,200106,-246,-338.0,-641.0,-0.14210717,-0.10101145,-0.14241612,0,0,53.0,0,0.0,0.0
113451,200109,73,100.0,583.0,0.044316813,0.030962225,0.13033263,0,0,53.0,0,0.0,0.0
113456,200103,-377,-581.0,-480.0,-0.45799032,-0.33172163,-0.19298147,0,0,29.0,0,0.0,0.0
113456,200106,320,417.0,169.0,0.4008319,0.24867798,0.0722691,0,0,29.5,0,0.0,0.0
