newid,year_month,dcf,dcs,dcn,dlcf,dlcs,dlcn,dnumadult,dnumkids,age,taxreb,ltaxreb,l2taxreb
113457,200103,494,1539.0,2298.0,0.28303555,0.3364351,0.40287107,0,0,36.0,0,0.0,0.0
113457,200106,159,-173.0,-811.0,0.076350965,-0.03264133,-0.12446113,0,0,36.0,0,0.0,0.0
113457,200109,-36,545.0,1053.0,-0.01678361,0.09941653,0.15878586,0,0,37.0,0,0.0,0.0
113460,200103,-55,283.0,-94.0,-0.095475756,0.17584683,-0.051070303,0,0,51.0,0,0.0,0.0
113460,200106,310,14.0,1822.0,0.4476705,0.007945558,0.7009207,0,0,51.0,0,0.0,0.0
113460,200109,-39,180.0,-1579.0,-0.04646458,0.096902005,-0.5738903,0,0,51.0,300,0.0,0.0
113472,200103,234,291.0,534.0,0.17338204,0.11548994,0.14023988,0,0,65.0,0,0.0,0.0
113472,200106,330,32.0,-58.0,0.20252426,0.011922645,-0.0143141635,0,0,66.0,0,0.0,0.0
113487,200103,2076,2202.0,3170.0,0.8595954,0.47864336,0.498758,0,0,31.0,0,0.0,0.0
113488,200103,-423,-537.0,-518.0,-0.32411435,-0.26133695,-0.23996463,0,0,58.0,0,0.0,0.0
113488,200106,174,472.0,472.0,0.14623319,0.2331049,0.22083724,0,0,58.0,0,0.0,0.0
113504,200103,135,72.0,-715.0,0.14837915,0.06814367,-0.34745184,0,0,68.0,0,0.0,0.0
113504,200106,-60,-102.0,-425.0,-0.06324552,-0.097966954,-0.28362292,0,0,68.0,0,0.0,0.0
113504,200109,20,141.0,443.0,0.021529356,0.13302672,0.29402763,0,0,68.0,49,0.0,0.0
113505,200103,120,230.0,364.0,0.2098257,0.10926853,0.11778303,0,1,33.0,0,0.0,0.0
113519,200103,-597,-516.0,-131.0,-0.41754463,-0.25242677,-0.05171865,0,0,23.0,0,0.0,0.0
113519,200106,16,136.0,-135.0,0.013793322,0.072954595,-0.056253113,0,0,23.0,0,0.0,0.0
113519,200109,242,764.0,513.0,0.18829682,0.33306685,0.19875951,0,0,24.0,300,0.0,0.0
113529,200102,275,1252.0,1185.0,0.14411499,0.37679285,0.2757543,0,0,40.0,0,0.0,0.0
113529,200105,-180,-137.0,-468.0,-0.09194834,-0.034957,-0.10001924,0,0,40.0,0,0.0,0.0
113529,200108,286,-575.0,-515.0,0.1423872,-0.1617097,-0.12302263,0,0,41.0,0,0.0,0.0
113542,200102,-300,-350.0,-296.0,-0.5081731,-0.25574535,-0.12081531,0,0,41.0,0,0.0,0.0
113542,200105,276,203.0,107.0,0.47578162,0.15617076,0.045375604,0,0,42.0,0,0.0,0.0
113542,200108,-60,-183.0,-92.0,-0.085889675,-0.13965511,-0.03888909,0,0,42.0,0,0.0,0.0
113548,200103,-456,205.0,565.0,-1.5117995,0.13096838,0.29525214,0,0,64.0,0,0.0,0.0
113548,200106,-26,-776.0,-617.0,-0.22508341,-0.6248731,-0.32737347,0,0,65.0,0,0.0,0.0
113548,200109,-13,-325.0,-454.0,-0.13491932,-0.45182535,-0.33546835,0,0,65.0,0,0.0,0.0
113555,200103,214,850.0,943.0,0.2424433,0.5040176,0.5126705,1,0,27.0,0,0.0,0.0
113555,200106,1484,1005.0,1258.0,0.91346985,0.38396564,0.42858997,0,0,27.0,0,0.0,0.0
113555,200109,-1423,-739.0,-1056.0,-0.85391104,-0.26716638,-0.34616157,0,0,28.0,0,0.0,0.0
113557,200103,-81,-344.0,-402.0,-0.07080283,-0.17303456,-0.18059678,0,0,44.0,0,0.0,0.0
113557,200106,361,478.0,358.0,0.2829153,0.23308845,0.16234659,0,0,44.0,0,0.0,0.0
113564,200103,-98,-1086.0,-703.0,-0.051644772,-0.37160644,-0.19521973,0,0,35.0,0,0.0,0.0
113564,200106,1190,1164.0,4251.0,0.49688357,0.39365366,0.8344678,0,0,35.5,0,0.0,0.0
113564,200109,-833,-34.0,-2420.0,-0.3203476,-0.009550635,-0.38883105,0,0,35.5,600,0.0,0.0
113565,200103,-180,-165.0,227.0,-0.29774687,-0.1454384,0.16302583,0,0,51.0,0,0.0,0.0
113565,200106,651,554.0,459.0,0.8128551,0.42239872,0.2655706,0,0,51.0,0,0.0,0.0
113565,200109,-780,-884.0,-1119.0,-1.0986123,-0.79795504,-0.8407139,0,0,52.0,300,0.0,0.0
113571,200103,-525,-369.0,-198.0,-0.37469345,-0.12823373,-0.061991677,1,-1,48.5,0,0.0,0.0
113571,200106,-141,27.0,926.0,-0.13019744,0.009961344,0.26166832,0,0,48.5,0,0.0,0.0
113571,200109,66,-255.0,-1204.0,0.06305814,-0.09828818,-0.35575187,0,0,49.0,0,0.0,0.0
113588,200103,-334,196.0,596.0,-0.74826646,0.12769438,0.30582383,0,0,30.0,0,0.0,0.0
113588,200106,394,165.0,278.0,0.8386895,0.096143864,0.1159147,0,0,31.0,0,0.0,0.0
113588,200109,336,942.0,1062.0,0.39484212,0.4209009,0.34932518,0,0,31.0,0,0.0,0.0
113589,200106,181,123.0,-135.0,0.17028357,0.06215691,-0.057085883,0,0,56.0,0,0.0,0.0
113590,200103,-4,297.0,357.0,-0.0049261185,0.17195,0.12431216,0,0,25.0,0,0.0,0.0
113590,200106,220,67.0,300.0,0.24027984,0.03501795,0.09370146,0,0,25.0,0,0.0,0.0
113600,200103,-255,-952.0,27.0,-0.22532156,-0.32399228,0.007128743,0,0,71.0,0,0.0,0.0
113600,200106,-585,-538.0,-1313.0,-0.86698157,-0.2436498,-0.423785,0,0,71.5,0,0.0,0.0
113600,200109,660,709.0,1014.0,0.93867975,0.31012073,0.34185505,0,0,71.5,600,0.0,0.0
113615,200109,-15,-435.0,425.0,-0.028491955,-0.21107753,0.14103171,0,0,84.5,600,0.0,0.0
113616,200102,-139,243.0,464.0,-0.1639922,0.11598205,0.12482599,0,0,71.0,0,0.0,0.0
113616,200105,-150,-356.0,48.0,-0.2135741,-0.17486855,0.012066511,0,0,71.0,0,0.0,0.0
113626,200102,519,934.0,1307.0,0.43774277,0.4015775,0.40687275,0,0,26.5,0,0.0,0.0
113626,200105,-684,-949.0,-1826.0,-0.6296338,-0.40954566,-0.62924826,0,0,26.5,0,0.0,0.0
113626,200108,819,1073.0,1353.0,0.7178398,0.4525183,0.5003099,0,0,26.5,0,0.0,0.0
113627,200103,-270,-1910.0,-1501.0,-0.30228087,-0.65142334,-0.4016162,0,0,47.0,0,0.0,0.0
113627,200106,360,311.0,-116.0,0.38566247,0.1393438,-0.038944162,0,0,47.5,0,0.0,0.0
113627,200109,-300,-159.0,-49.0,-0.3101549,-0.068813644,-0.016917372,0,0,47.5,600,0.0,0.0
113628,200103,-792,-588.0,1729.0,-0.19077827,-0.068176605,0.123874664,0,0,39.0,0,0.0,0.0
113628,200106,342,-70.0,-4038.0,0.08687867,-0.008434801,-0.31759495,0,0,39.0,0,0.0,0.0
113628,200109,3675,5231.0,6587.0,0.63877577,0.4904105,0.47610652,0,0,40.0,0,0.0,0.0
113631,200103,820,843.0,2921.0,0.48934954,0.25681815,0.5903851,0,0,23.0,0,0.0,0.0
113633,200103,-342,-148.0,-359.0,-0.3166696,-0.048328046,-0.08072703,0,0,50.0,0,0.0,0.0
113633,200106,432,573.0,159.0,0.38566247,0.1753833,0.03656,0,0,50.0,0,0.0,0.0
113633,200109,165,214.0,386.0,0.11531085,0.058343064,0.08356222,0,0,50.0,600,0.0,0.0
113645,200103,-24,160.0,417.0,-0.033015378,0.07104629,0.15501194,0,0,65.0,0,0.0,0.0
113645,200106,489,1560.0,1149.0,0.5211221,0.51202506,0.33336824,0,0,66.0,0,0.0,0.0
113645,200109,-234,-1015.0,-1025.0,-0.21610856,-0.30208445,-0.29155502,0,0,66.0,0,0.0,0.0
113668,200103,-253,-519.0,-449.0,-0.13424097,-0.14186661,-0.11900192,0,0,57.5,0,0.0,0.0
113668,200106,-12,-217.0,-155.0,-0.0068376334,-0.06585118,-0.044605292,0,0,57.5,0,0.0,0.0
113668,200109,606,1545.0,1524.0,0.29749653,0.3951655,0.37052792,0,0,58.0,600,0.0,0.0
113679,200103,-126,-891.0,-2902.0,-0.1377721,-0.46724248,-1.0075073,0,0,36.0,0,0.0,0.0
113679,200106,1145,3555.0,4192.0,0.8511424,1.2167914,1.2560956,0,0,37.0,0,0.0,0.0
113679,200109,-768,-2596.0,-1685.0,-0.48513252,-0.7214595,-0.3389664,0,0,37.0,0,0.0,0.0
113680,200106,-21,-648.0,-548.0,-0.018843088,-0.20925444,-0.09447158,0,0,57.5,0,0.0,0.0
113680,200109,395,267.0,404.0,0.30585828,0.09158067,0.0704984,0,0,57.5,600,0.0,0.0
113687,200103,-1412,-1989.0,-3019.0,-1.0210472,-0.79694396,-0.80053735,0,0,30.0,0,0.0,0.0
113687,200106,349,340.0,496.0,0.36394405,0.189242,0.18360747,0,0,30.0,0,0.0,0.0
113688,200106,-651,-805.0,-1095.0,-0.8128551,-0.5335086,-0.38400227,0,0,82.0,0,0.0,0.0
113691,200103,-66,147.0,25.0,-0.07435857,0.060005758,0.009302393,0,0,39.0,0,0.0,0.0
113691,200106,-270,-585.0,-758.0,-0.37948963,-0.26367256,-0.3295334,0,0,39.0,0,0.0,0.0
113691,200109,450,854.0,925.0,0.57054484,0.36494392,0.38954782,0,0,39.0,0,0.0,0.0
113701,200103,-993,-1456.0,-1906.0,-0.4453375,-0.20263225,-0.22222918,0,0,42.0,0,0.0,0.0
113701,200106,579,412.0,-341.0,0.28301015,0.061622363,-0.04554436,0,0,42.5,0,0.0,0.0
113701,200109,230,1351.0,1527.0,0.09341202,0.1789555,0.18951526,0,0,43.0,0,0.0,0.0
113704,200103,-365,745.0,2238.0,-0.1770024,0.14572252,0.36239624,0,0,52.5,0,0.0,0.0
113704,200106,1662,3421.0,3432.0,0.6321744,0.48407868,0.38265878,0,0,52.5,0,0.0,0.0
113713,200103,-686,-795.0,-885.0,-1.2943568,-0.312893,-0.32113424,0,0,64.0,0,0.0,0.0
113713,200106,1490,878.0,6990.0,1.9099714,0.34055683,1.3840454,1,0,64.0,0,0.0,0.0
113713,200109,-470,2540.0,-3635.0,-0.31296566,0.60703194,-0.49385175,0,0,64.0,0,0.0,0.0
113730,200103,-23,123.0,123.0,-0.023947006,0.058967475,0.05041018,0,0,55.5,0,0.0,0.0
113730,200106,-175,-464.0,-439.0,-0.20383692,-0.24336526,-0.19292918,0,0,55.5,0,0.0,0.0
113730,200109,66,506.0,1014.0,0.08183002,0.26272961,0.39979386,0,0,55.5,600,0.0,0.0
113745,200103,296,208.0,82.0,0.7051852,0.3197704,0.07533405,0,0,70.0,0,0.0,0.0
113745,200106,25,60.0,-160.0,0.04184711,0.07598591,-0.15267684,0,0,70.0,0,0.0,0.0
113745,200109,-25,216.0,216.0,-0.04184711,0.23381808,0.20104551,0,0,70.0,0,0.0,0.0
113746,200103,5,213.0,348.0,0.009970172,0.1845392,0.24986331,0,0,68.0,0,0.0,0.0
113746,200106,15,137.0,142.0,0.029327614,0.10290497,0.08637585,0,0,68.0,0,0.0,0.0
113746,200109,436,2351.0,2351.0,0.60980743,0.9851028,0.8629096,0,0,68.0,300,0.0,0.0
113762,200103,325,778.0,2706.0,0.2549816,0.25836292,0.5840663,0,0,42.5,0,0.0,0.0
113762,200106,-130,-333.0,-2358.0,-0.09434112,-0.102535516,-0.4869188,0,0,43.0,0,0.0,0.0
113762,200109,475,363.0,759.0,0.30858088,0.111276835,0.18391645,0,0,43.5,283,0.0,0.0
113770,200103,-149,-130.0,-153.0,-0.17099355,-0.090591155,-0.0927094,0,0,47.0,0,0.0,0.0
113770,200106,-94,-144.0,-26.0,-0.12516314,-0.11096823,-0.01664571,0,0,47.0,0,0.0,0.0
113771,200103,-359,-69.0,-162.0,-0.27610067,-0.022890367,-0.043992974,0,0,71.0,0,0.0,0.0
113771,200106,716,-74.0,338.0,0.49114698,-0.025145736,0.089691475,0,0,71.0,0,0.0,0.0
113771,200109,-643,160.0,27.0,-0.42849243,0.053596213,0.0068294182,0,0,71.5,600,0.0,0.0
113773,200103,-80,90.0,7131.0,-0.032857165,0.013163858,0.66577953,0,0,37.5,0,0.0,0.0
113773,200106,1135,3513.0,-2431.0,0.38791463,0.41241562,-0.18119057,0,0,37.5,0,0.0,0.0
113773,200109,-452,-3187.0,-4147.0,-0.13701783,-0.3661334,-0.41379353,0,0,37.5,600,0.0,0.0
113776,200103,-264,291.0,-402.0,-0.09328794,0.05057111,-0.058771662,0,0,54.0,0,0.0,0.0
113776,200106,274,-459.0,-451.0,0.09665608,-0.08097519,-0.07032747,0,0,54.0,0,0.0,0.0
113776,200109,-445,-435.0,-636.0,-0.16208388,-0.08330971,-0.1084167,1,-1,54.0,0,0.0,0.0
113778,200106,-161,229.0,-27.0,-0.26570317,0.11436745,-0.010665715,0,0,85.0,0,0.0,0.0
113778,200109,-205,-145.0,74.0,-0.49024493,-0.070882335,0.028964844,0,0,85.0,0,0.0,0.0
113783,200103,406,-264.0,-746.0,0.14806752,-0.054446436,-0.1367678,0,0,64.5,0,0.0,0.0
113783,200106,454,119.0,546.0,0.14314604,0.024909712,0.10189676,0,0,65.0,0,0.0,0.0
113783,200109,95,234.0,473.0,0.027526002,0.04724334,0.0805885,0,0,65.0,600,0.0,0.0
113784,200103,-1589,-1727.0,-2684.0,-0.6382677,-0.33823517,-0.45044214,0,0,50.5,0,0.0,0.0
113784,200106,7,177.0,260.0,0.003927074,0.040421076,0.053654294,0,0,51.0,0,0.0,0.0
113784,200109,1540,1192.0,1174.0,0.6217919,0.23648301,0.21178737,0,0,51.5,0,0.0,0.0
113796,200103,-569,310.0,839.0,-0.6519212,0.09009866,0.21291037,0,0,52.0,0,0.0,0.0
113796,200106,611,1100.0,1182.0,0.68666416,0.26675874,0.23915188,0,0,53.0,0,0.0,0.0
113796,200109,384,-144.0,-488.0,0.2717014,-0.03113092,-0.09191483,0,0,53.0,0,0.0,0.0
113801,200103,-258,-96.0,-425.0,-0.18441251,-0.028287096,-0.10424821,0,0,66.0,0,0.0,0.0
113801,200106,-41,-1058.0,-1250.0,-0.032711335,-0.38008752,-0.39032692,0,0,66.0,0,0.0,0.0
113801,200109,-4,192.0,404.0,-0.0032493935,0.08058049,0.1435082,0,0,66.0,0,0.0,0.0
113816,200103,-675,-694.0,6.0,-0.6270571,-0.4240633,0.0029835925,0,0,51.0,0,0.0,0.0
113818,200103,3398,3575.0,2741.0,0.6547316,0.53169006,0.34570646,1,-1,52.0,0,0.0,0.0
113818,200106,-4625,-4571.0,-4367.0,-1.0610133,-0.7492544,-0.62673104,0,0,52.5,0,0.0,0.0
113818,200109,904,665.0,778.0,0.3142858,0.15037867,0.14432406,0,0,52.5,446,0.0,0.0
113819,200102,221,-42.0,92.0,0.18554513,-0.018381262,0.03684838,0,0,41.5,0,0.0,0.0
113819,200105,243,742.0,828.0,0.17076074,0.28347713,0.28186494,0,0,42.0,0,0.0,0.0
113819,200108,-405,-617.0,-818.0,-0.30330738,-0.22973542,-0.2779403,0,0,42.0,0,0.0,0.0
113820,200103,-300,-467.0,558.0,-0.1695141,-0.12863258,0.1170902,0,0,31.5,0,0.0,0.0
113820,200106,275,36.0,-1029.0,0.15643519,0.010526413,-0.22785762,0,0,31.5,0,0.0,0.0
113829,200106,0,-276.0,-213.0,0.0,-0.49583003,-0.17296945,0,0,85.0,0,0.0,0.0
113829,200109,0,30.0,25.0,0.0,0.06744128,0.021921089,0,0,85.0,0,0.0,0.0
113830,200109,450,344.0,666.0,0.23132285,0.11540943,0.20907862,0,0,53.0,300,0.0,0.0
113832,200103,267,231.0,529.0,0.79463655,0.20288123,0.34844574,0,0,69.0,0,0.0,0.0
113832,200106,-37,1.0,-264.0,-0.079016544,0.0007945968,-0.15879624,0,0,70.0,0,0.0,0.0
113832,200109,-195,-256.0,-89.0,-0.56798404,-0.22732225,-0.05976938,0,0,70.0,0,0.0,0.0
113834,200103,1454,4311.0,5306.0,0.7605714,1.0045325,1.1318492,0,0,44.5,0,0.0,0.0
113834,200106,-185,-2206.0,-2188.0,-0.07017096,-0.39203033,-0.3276744,0,0,44.5,0,0.0,0.0
113834,200109,-855,-1067.0,-1840.0,-0.40940213,-0.2641718,-0.3946256,0,0,45.0,0,0.0,0.0
113835,200102,665,1754.0,2942.0,0.3294895,0.4784065,0.64198273,0,0,52.0,0,0.0,0.0
113835,200105,-599,-1050.0,-2278.0,-0.29148838,-0.2582755,-0.45701268,0,0,52.0,0,0.0,0.0
113835,200108,579,1090.0,1524.0,0.28301015,0.26690927,0.32756773,0,0,53.0,0,0.0,0.0
113843,200103,1299,2392.0,467.0,0.4759689,0.5024941,0.07897282,0,0,54.0,0,0.0,0.0
113843,200106,511,657.0,2035.0,0.13887423,0.10299643,0.28585112,0,0,54.0,0,0.0,0.0
113843,200109,2562,3395.0,2508.0,0.5008291,0.40928125,0.26728612,0,0,54.0,0,0.0,0.0
113844,200103,282,675.0,594.0,0.18880992,0.3271729,0.25099418,0,0,36.5,0,0.0,0.0
113844,200106,-739,-820.0,-363.0,-0.59944683,-0.4139758,-0.14577776,0,0,37.0,0,0.0,0.0
113844,200109,631,848.0,882.0,0.53128165,0.42548436,0.3230417,0,0,37.0,0,0.0,0.0
113857,200105,1385,773.0,-1199.0,0.93919843,0.21045735,-0.23189919,0,0,68.0,0,0.0,0.0
113879,200103,15,-101.0,-126.0,0.015504187,-0.060443163,-0.065923445,0,0,27.0,0,0.0,0.0
113879,200106,-66,-64.0,649.0,-0.07009238,-0.04028235,0.30084547,0,0,27.0,0,0.0,0.0
113885,200103,-566,-4548.0,-4339.0,-0.41083664,-0.86933255,-0.73962706,0,0,28.0,0,0.0,0.0
113885,200106,980,1008.0,1337.0,0.63111895,0.26776215,0.2907692,0,0,28.0,0,0.0,0.0
113885,200109,-1059,-598.0,-1143.0,-0.70467466,-0.15008067,-0.24296506,0,0,28.0,500,0.0,0.0
113891,200103,18,148.0,30.0,0.03797925,0.1943265,0.022971913,0,0,73.0,0,0.0,0.0
113891,200106,12,-162.0,-218.0,0.02454111,-0.21482502,-0.18035528,0,0,73.0,0,0.0,0.0
113891,200109,64,86.0,62.0,0.12159171,0.11975348,0.054687347,0,0,73.0,0,0.0,0.0
113895,200103,314,827.0,753.0,0.17726453,0.2523552,0.19763227,0,0,35.0,0,0.0,0.0
113895,200106,-186,-554.0,-791.0,-0.10117317,-0.16182116,-0.20872079,0,0,35.5,0,0.0,0.0
113895,200109,272,1017.0,1241.0,0.14470232,0.27948433,0.31052652,0,0,35.5,0,0.0,0.0
113904,200103,-411,-708.0,-225.0,-0.3083372,-0.25257626,-0.06840533,0,0,47.5,0,0.0,0.0
113904,200106,746,1176.0,1152.0,0.5041248,0.39019763,0.30931547,0,0,47.5,0,0.0,0.0
113904,200109,-425,-861.0,-728.0,-0.2556459,-0.26989254,-0.18407829,0,0,47.5,575,0.0,0.0
113905,200103,271,1326.0,2691.0,0.17309737,0.4340154,0.6277644,0,0,54.0,0,0.0,0.0
113905,200106,-419,-453.0,-2716.0,-0.2820285,-0.1281593,-0.63591176,0,0,54.0,0,0.0,0.0
113905,200109,388,-404.0,477.0,0.26367936,-0.13004474,0.1450405,0,0,55.0,0,0.0,0.0
113909,200103,360,748.0,631.0,0.24613307,0.17029452,0.124877915,0,0,66.0,0,0.0,0.0
113909,200106,-255,4830.0,4664.0,-0.16788088,0.69867927,0.6247189,0,0,66.0,0,0.0,0.0
113909,200109,340,-3657.0,-3119.0,0.218113,-0.4791008,-0.37206173,0,0,66.0,0,0.0,0.0
113930,200103,585,587.0,566.0,0.42519668,0.32328892,0.26756233,0,0,31.0,0,0.0,0.0
113930,200106,-585,-473.0,91.0,-0.42519668,-0.25178513,0.037048813,0,0,31.0,0,0.0,0.0
113930,200109,651,477.0,-63.0,0.4635289,0.25366572,-0.025502292,0,0,32.0,0,0.0,0.0
113953,200103,-184,135.0,160.0,-0.27347913,0.07787155,0.091649674,0,0,28.0,0,0.0,0.0
113953,200106,330,472.0,699.0,0.4473122,0.23264323,0.32396173,0,0,29.0,0,0.0,0.0
113953,200109,-311,-721.0,-862.0,-0.41534987,-0.38135186,-0.41741267,0,0,29.0,300,0.0,0.0
